# SurveyHHCode,HHCode,TypeOfSegmentation,FullZeros,NodeStates,,,Node States,Cluster N,HH Amount,,,# SurveyHHCode,HHCode,TypeOfSegmentation,FullZeros,NodeStates
331,54,3,7,,,,,,,,,,,,,
336,54,0,7,,,,,,,,,,,,,
336,54,1,7,,,,,,,,,,,,,
336,54,3,7,,,,,,,,,,,,,
359,20,0,7,,,,,,,,,,,,,
359,20,1,7,,,,,,,,,,,,,
364,52,3,7,,,,,,,,,,,,,
364,52,1,7,,,,,,,,,,,,,
364,52,4,7,,,,,,,,,,,,,
383,6,0,7,,,,,,,,,,,,,
435,21,0,7,,,,,,,,,,,,,
436,21,0,7,,,,,,,,,,,,,
492,21,2,7,,,,,,,,,,,,,
495,21,2,7,,,,,,,,,,,,,
6,20,0,6,S13 - Small Industry,,,,,,,,,,,,
6,20,1,6,,,,,,,,,,,,,
47,5,0,6,,,,,,,,,,,,,
59,5,0,6,,,,,,,,,,,,,
120,20,0,6,,,,,,,,,,,,,
120,20,0,6,,,,,,,,,,,,,
129,20,0,6,,,,,,,,,,,,,
129,20,0,6,,,,,,,,,,,,,
184,16,1,6,,,,,,,,,,,,,
184,16,3,6,,,,,,,,,,,,,
184,16,1,6,,,,,,,,,,,,,
205,23,2,6,,,,,,,,,,,,,
205,23,1,6,,,,,,,,,,,,,
205,23,2,6,,,,,,,,,,,,,
210,23,2,6,,,,,,,,,,,,,
210,23,1,6,,,,,,,,,,,,,
210,23,2,6,,,,,,,,,,,,,
213,23,2,6,,,,,,,,,,,,,
213,23,1,6,,,,,,,,,,,,,
213,23,2,6,,,,,,,,,,,,,
215,23,2,6,,,,,,,,,,,,,
215,23,1,6,,,,,,,,,,,,,
215,23,2,6,,,,,,,,,,,,,
218,23,2,6,,,,,,,,,,,,,
218,23,1,6,,,,,,,,,,,,,
218,23,2,6,,,,,,,,,,,,,
262,20,0,6,,,,,,,,,,,,,
262,20,1,6,,,,,,,,,,,,,
265,20,0,6,,,,,,,,,,,,,
265,20,1,6,,,,,,,,,,,,,
324,54,0,6,,,,,,,,,,,,,
324,54,1,6,,,,,,,,,,,,,
324,54,3,6,,,,,,,,,,,,,
344,20,0,6,,,,,,,,,,,,,
344,20,1,6,,,,,,,,,,,,,
350,20,0,6,,,,,,,,,,,,,
350,20,1,6,,,,,,,,,,,,,
357,20,0,6,,,,,,,,,,,,,
357,20,1,6,,,,,,,,,,,,,
371,52,3,6,,,,,,,,,,,,,
371,52,1,6,,,,,,,,,,,,,
371,52,4,6,,,,,,,,,,,,,
384,6,0,6,,,,,,,,,,,,,
387,6,0,6,,,,,,,,,,,,,
452,21,0,6,,,,,,,,,,,,,
472,21,0,6,,,,,,,,,,,,,
475,21,0,6,,,,,,,,,,,,,
13,20,0,6,,,,,,,,,,,,,
13,20,1,6,,,,,,,,,,,,,
53,5,0,6,,,,,,,,,,,,,
54,5,0,5,S4 - Commerce,,,,,,,,,,,,
73,21,2,5,,,,,,,,,,,,,
81,21,2,5,,,,,,,,,,,,,
90,21,2,5,,,,,,,,,,,,,
92,21,2,5,,,,,,,,,,,,,
121,20,0,5,,,,,,,,,,,,,
121,20,0,5,,,,,,,,,,,,,
125,20,0,5,,,,,,,,,,,,,
125,20,0,5,,,,,,,,,,,,,
131,20,0,5,,,,,,,,,,,,,
131,20,0,5,,,,,,,,,,,,,
135,20,0,5,,,,,,,,,,,,,
135,20,0,5,,,,,,,,,,,,,
138,20,0,5,,,,,,,,,,,,,
138,20,0,5,,,,,,,,,,,,,
182,16,1,5,,,,,,,,,,,,,
182,16,3,5,,,,,,,,,,,,,
182,16,1,5,,,,,,,,,,,,,
185,16,1,5,,,,,,,,,,,,,
185,16,3,5,,,,,,,,,,,,,
185,16,1,5,,,,,,,,,,,,,
188,16,1,5,,,,,,,,,,,,,
188,16,3,5,,,,,,,,,,,,,
188,16,1,5,,,,,,,,,,,,,
190,16,1,5,,,,,,,,,,,,,
190,16,3,5,,,,,,,,,,,,,
190,16,1,5,,,,,,,,,,,,,
192,16,1,5,,,,,,,,,,,,,
192,16,3,5,,,,,,,,,,,,,
192,16,1,5,,,,,,,,,,,,,
216,23,2,5,,,,,,,,,,,,,
216,23,1,5,,,,,,,,,,,,,
216,23,2,5,,,,,,,,,,,,,
297,20,0,5,,,,,,,,,,,,,
297,20,1,5,,,,,,,,,,,,,
349,20,0,5,,,,,,,,,,,,,
349,20,1,5,,,,,,,,,,,,,
376,52,3,5,,,,,,,,,,,,,
376,52,1,5,,,,,,,,,,,,,
376,52,4,5,,,,,,,,,,,,,
444,21,0,5,,,,,,,,,,,,,
483,21,2,5,,,,,,,,,,,,,
486,21,2,5,,,,,,,,,,,,,
491,21,2,5,,,,,,,,,,,,,
43,5,0,5,,,,,,,,,,,,,
51,5,0,5,,,,,,,,,,,,,
87,21,2,5,,,,,,,,,,,,,
198,16,1,5,,,,,,,,,,,,,
198,16,3,5,,,,,,,,,,,,,
198,16,1,5,,,,,,,,,,,,,
155,20,0,4,S7 - Education,,,,,,,,,,,,
